County,Offense,AverageIncarcerationLength,TotalCasesYear,TotalIncarcerationAmount,MaxSentence,MinSentence,StdDevSentence,MedianSentence,ModeSentence,AverageProbation,TotalProbationInstances,TotalProbationMonthSum,MaxProbation,MinProbation,StdDevProbation,MedianProbation,ModeProbation,ID
ATL,ABSCONDING FROM PAROLE,271.375,8,2171,1095,0,375.064161177791,174.0,0,0.0,8,0,0,0,0.0,0.0,0,1
ATL,ABUSE/ABANDONMENT/CRUELTY & NE,100.6,15,1509,540,0,177.58611593091553,0.0,0,23.466666666666665,15,352,60,0,23.033722689838502,24.0,0,2
ATL,ACCOMPLICE LIABILITY-3RD DEGRE,608.0,3,1824,1460,0,759.968420396532,364.0,0,0.0,3,0,0,0,0.0,0.0,0,3
ATL,ACCOMPLICE LIABILITY-4TH DEGRE,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,4
ATL,ACCOMPLICE LIABILITY-OWN CONDU,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,5
ATL,AGG ARSON-PURP DESTROY STRUCTU,1581.3333333333333,3,4744,2555,364,1115.6389798377131,1825.0,364,20.0,3,60,60,0,34.64101615137755,0.0,0,6
ATL,AGG ARSON-PURPOSE OR KNOWING D,2190.0,2,4380,2555,1825,516.1879502661797,2190.0,1825,0.0,2,0,0,0,0.0,0.0,0,7
ATL,AGG ASLT-BODILY INJURY,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,8
ATL,AGG ASSAULT,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,9
ATL,AGG ASSAULT - ON DOMESTIC VIOL,356.8448275862069,58,20697,1825,0,546.8162012552599,0.0,0,18.517241379310345,58,1074,60,0,19.214615580480036,24.0,0,10
ATL,AGG ASSAULT - STRANGLE DOMESTI,311.6046511627907,43,13399,1460,0,492.6933335557044,0.0,0,20.651162790697676,43,888,60,0,21.64528291395724,24.0,0,11
ATL,AGG ASSAULT W/ FIREARM,421.5,6,2529,545,0,218.33346055975937,540.0,540,8.0,6,48,36,0,14.53272169966796,0.0,0,12
ATL,AGG ASSAULT-ASSAULT ON A HEALT,845.0,2,1690,1460,230,869.7413408594534,845.0,230,6.0,2,12,12,0,8.48528137423857,6.0,0,13
ATL,AGG ASSAULT-ASSAULT ON BUS DRI,220.0,1,220,220,220,,220.0,220,0.0,1,0,0,0,,0.0,0,14
ATL,AGG ASSAULT-ASSAULT ON SCHOOL,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,15
ATL,AGG ASSAULT-ATTEMPT/CAUSE BI W,486.97938144329896,97,47237,1825,0,626.6710490657067,130.0,0,13.855670103092784,97,1344,60,0,18.76221251762971,0.0,0,16
ATL,AGG ASSAULT-ATTEMPT/CAUSE SBI,1957.1978021978023,91,178105,5475,0,911.7730616744036,1825.0,1825,1.1868131868131868,91,108,48,0,6.706401730870602,0.0,0,17
ATL,AGG ASSAULT-ATTEMPT/CAUSE SIGN,400.1764705882353,170,68030,1825,0,579.2361972668452,75.5,0,16.376470588235293,170,2784,60,0,19.913408090758114,0.0,0,18
ATL,AGG ASSAULT-CAUSE INJURY WITH,24.0,5,120,120,0,53.665631459994955,0.0,0,7.2,5,36,24,0,10.73312629199899,0.0,0,19
ATL,AGG ASSAULT-EMERGENCY 1ST AID/,212.91666666666666,12,2555,1095,0,425.04255580168,0.0,0,11.0,12,132,36,0,13.00349603340998,6.0,0,20
ATL,AGG ASSAULT-ON LAW ENFORCEMENT,193.61904761904762,63,12198,1825,0,376.39484366953513,0.0,0,16.571428571428573,63,1044,60,0,16.614911963027986,24.0,0,21
ATL,AGG ASSAULT-ON PAID/VOLUNTEER,365.0,1,365,365,365,,365.0,365,0.0,1,0,0,0,,0.0,0,22
ATL,AGG ASSAULT-SIMPLE ASSAULT ON,311.25,4,1245,1095,0,523.8379997671036,75.0,0,12.0,4,48,36,0,16.97056274847714,6.0,0,23
ATL,AGG ASSLT SBI,500.85714285714283,7,3506,1095,0,561.2353720651817,221.0,0,5.142857142857143,7,36,24,0,9.441549509633319,0.0,0,24
ATL,AGG ASSLT W/DW-BI,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,25
ATL,AGG SEX ASSAULT,18250.0,2,36500,29200,7300,15485.63850798539,18250.0,7300,0.0,2,0,0,0,0.0,0.0,0,26
ATL,AGG SEX ASSAULT-D ARMED W/ & T,6570.0,1,6570,6570,6570,,6570.0,6570,0.0,1,0,0,0,,0.0,0,27
ATL,AGG SEX ASSAULT-DURING ROBBERY,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,28
ATL,AGG SEX ASSAULT-V >=13 & < 16-,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0,29
ATL,"AGG SEX ASSAULT-V HELPLESS, IN",5110.0,1,5110,5110,5110,,5110.0,5110,0.0,1,0,0,0,,0.0,0,30
ATL,AGG SEX ASSAULT-V>=13 & <16-D,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0,31
ATL,AGGRAVATED ARSON,291.0,1,291,291,291,,291.0,291,0.0,1,0,0,0,,0.0,0,32
ATL,AGGRAVATED CRIMINAL SEXUAL CON,156.42857142857142,7,1095,1095,0,413.8710979451038,0.0,0,0.0,7,0,0,0,0.0,0.0,0,33
ATL,AGGRAVATED MANSLAUGHTER-EXTREM,5784.166666666667,36,208230,14600,2920,2504.180932532061,5110.0,3650,0.0,36,0,0,0,0.0,0.0,0,34
ATL,AGGRAVATED SEXUAL ASSAULT - VI,4421.923076923077,13,57485,6205,2555,1398.4001848266028,4380.0,5475,0.0,13,0,0,0,0.0,0.0,0,35
ATL,ARSON-RECKLESS DANGER OF DEATH,46.666666666666664,3,140,140,0,80.82903768654761,0.0,0,8.0,3,24,24,0,13.856406460551018,0.0,0,36
ATL,ARSON-RECKLESS DANGER TO BLDG/,0.0,2,0,0,0,0.0,0.0,0,12.0,2,24,24,0,16.97056274847714,12.0,0,37
ATL,ASSAULT BY AUTO/VESSEL BI VIOL,51.53846153846154,26,1340,270,0,89.74150913339079,0.0,0,18.692307692307693,26,486,60,0,17.66299913552448,24.0,0,38
ATL,ASSAULT BY AUTO/VESSEL SBI VIO,170.625,16,2730,1095,0,367.82638567672115,0.0,0,26.25,16,420,60,0,22.436577279077127,30.0,0,39
ATL,ASSAULT BY AUTO/VESSEL-RECKLES,8.777777777777779,9,79,60,0,20.210008521632158,0.0,0,24.0,9,216,60,0,16.97056274847714,24.0,24,40
ATL,"BAD CHECKS-VALUE $1,000-<$75,0",84.23076923076923,13,1095,1095,0,303.69835743331294,0.0,0,28.615384615384617,13,372,60,0,25.708424240374534,36.0,0,41
ATL,"BAD CHECKS-VALUE $200-<$1,000",317.5,4,1270,540,0,227.17467581870417,365.0,365,0.0,4,0,0,0,0.0,0.0,0,42
ATL,"BAD CHECKS-VALUE $75,000+",0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,43
ATL,BAD CHECKS-VALUE <$200,45.0,4,180,180,0,90.0,0.0,0,6.0,4,24,24,0,12.0,0.0,0,44
ATL,BAIL JUMPING - UNDERLYING OFFE,380.3333333333333,3,1141,540,61,276.55077894183074,540.0,540,0.0,3,0,0,0,0.0,0.0,0,45
ATL,BAIL JUMPING -UNDERLYING OFFEN,932.8823529411765,17,15859,2190,0,752.8113875959353,1095.0,1095,3.5294117647058822,17,60,36,0,10.186496251525986,0.0,0,46
ATL,BIAS INTIMIDATION-UNDERLYING O,2190.0,3,6570,2920,1825,632.1985447626403,1825.0,1825,0.0,3,0,0,0,0.0,0.0,0,47
ATL,BOOBY TRAPS IN CDS MANU/DIST F,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,48
ATL,BRIBERY - PUB. SERV/PARTY OFF,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,49
ATL,BURG TOOLS/POSS-KNOWING,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,50
ATL,BURGLARY,191.0,2,382,292,90,142.8355697996826,191.0,90,30.0,2,60,60,0,42.42640687119285,30.0,0,51
ATL,BURGLARY-ELEMENTS,292.5,2,585,365,220,102.5304832720494,292.5,220,18.0,2,36,36,0,25.45584412271571,18.0,0,52
ATL,BURGLARY-ENTERING STRUCTURE ET,471.0474516695958,569,268026,3285,0,668.4517397525251,90.0,0,27.966608084358523,569,15913,60,0,27.06084581040756,24.0,0,53
