Judge,Offense,AverageIncarcerationYear,TotalCasesYear,TotalIncarcerationYears,MaxSentenceYear,MinSentenceYear,StdDevSentenceYear,MedianSentenceYear,ModeSentenceYear,AverageProbationMonth,TotalProbationMonthInstances,TotalIncarcerationMonth,MaxProbationMonth,MinProbationMonth,StdDevProbationMonth,MedianProbationMonth,ModeProbationMonth,County,ID
A JUDGE,POSS CDS/ANALOG - SCHD I II II,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,ESX,1
ADAM E JACOBS,ABUSE/ABANDONMENT/CRUELTY & NE,228.1818181818182,11,2510,1853,0,548.5919828400371,1.0,0,18.545454545454547,11,204,60,0,17.89057649358252,18.0,0,PAS,2
ADAM E JACOBS,ACCOMPLICE LIABILITY-3RD DEGRE,5.0,3,15,6,3,1.7320508075688772,6.0,6,28.0,3,84,36,12,13.856406460551018,36.0,36,PAS,3
ADAM E JACOBS,AGG ASSAULT - ON DOMESTIC VIOL,585.5,2,1171,1095,76,720.541810029092,585.5,76,12.0,2,24,24,0,16.97056274847714,12.0,0,PAS,4
ADAM E JACOBS,AGG ASSAULT W/ FIREARM,540.0,3,1620,540,540,0.0,540.0,540,0.0,3,0,0,0,0.0,0.0,0,PAS,5
ADAM E JACOBS,AGG ASSAULT-ASSAULT ON BUS DRI,365.0,1,365,365,365,,365.0,365,0.0,1,0,0,0,,0.0,0,PAS,6
ADAM E JACOBS,AGG ASSAULT-ASSAULT ON CORREC/,106.0,1,106,106,106,,106.0,106,0.0,1,0,0,0,,0.0,0,PAS,7
ADAM E JACOBS,AGG ASSAULT-ATTEMPT/CAUSE BI W,267.1818181818182,11,2939,1460,0,512.1083514612544,33.0,0,18.0,11,198,60,0,16.099689437998485,18.0,12,PAS,8
ADAM E JACOBS,AGG ASSAULT-ATTEMPT/CAUSE SBI,1835.5882352941176,17,31205,2735,1095,484.5838496616877,1825.0,1825,0.0,17,0,0,0,0.0,0.0,0,PAS,9
ADAM E JACOBS,AGG ASSAULT-ATTEMPT/CAUSE SIGN,435.72727272727275,22,9586,1460,0,460.59342486655515,242.0,0,16.90909090909091,22,372,60,0,14.886584215675187,15.0,12,PAS,10
