Offense,offenseCount,incidentsPerYear,AverageSentencePerYear,yearlyAveragePunishedOnly,incarcerationPercentage,yearlyProbationAverageAll,yearlyProbationAveragePunishedOnly,probationPercentage
RESIST ARR/ELUD-AFTER INSTRUCT,2033,"{""Year 2016"": 163, ""Year 2018"": 372, ""Year 2017"": 380, ""Year 2019"": 332, ""Year 2020"": 241, ""Year 2022"": 217, ""Year 2021"": 328}","{""Year 2016"": 361.72, ""Year 2018"": 331.41, ""Year 2017"": 520.97, ""Year 2019"": 301.51, ""Year 2020"": 303.15, ""Year 2022"": 253.29, ""Year 2021"": 1389.75}","{""Year 2016"": 655.11, ""Year 2018"": 673.69, ""Year 2017"": 994.81, ""Year 2019"": 610.37, ""Year 2020"": 664.18, ""Year 2022"": 597.45, ""Year 2021"": 2848.99}","{""Year 2016"": 55.21, ""Year 2018"": 49.19, ""Year 2017"": 52.37, ""Year 2019"": 49.4, ""Year 2020"": 45.64, ""Year 2022"": 42.4, ""Year 2021"": 48.78}","{""Year 2016"": 17.29, ""Year 2018"": 20.02, ""Year 2017"": 20.64, ""Year 2019"": 24.49, ""Year 2020"": 24.1, ""Year 2022"": 24.12, ""Year 2021"": 22.56}","{""Year 2016"": 27.91, ""Year 2018"": 29.33, ""Year 2017"": 31.5, ""Year 2019"": 33.19, ""Year 2020"": 32.45, ""Year 2022"": 32.71, ""Year 2021"": 31.1}","{""Year 2016"": 61.96, ""Year 2018"": 68.28, ""Year 2017"": 65.53, ""Year 2019"": 73.8, ""Year 2020"": 74.27, ""Year 2022"": 73.73, ""Year 2021"": 72.56}"
THEFT BY DECEPTION-VALUE $500-,1221,"{""Year 2016"": 128, ""Year 2018"": 260, ""Year 2017"": 251, ""Year 2019"": 220, ""Year 2020"": 161, ""Year 2022"": 84, ""Year 2021"": 117}","{""Year 2016"": 257.59, ""Year 2018"": 205.87, ""Year 2017"": 239.73, ""Year 2019"": 248.24, ""Year 2020"": 291.58, ""Year 2022"": 128.14, ""Year 2021"": 1392.03}","{""Year 2016"": 531.79, ""Year 2018"": 551.8, ""Year 2017"": 620.33, ""Year 2019"": 674.22, ""Year 2020"": 711.27, ""Year 2022"": 448.5, ""Year 2021"": 3465.28}","{""Year 2016"": 48.44, ""Year 2018"": 37.31, ""Year 2017"": 38.65, ""Year 2019"": 36.82, ""Year 2020"": 40.99, ""Year 2022"": 28.57, ""Year 2021"": 40.17}","{""Year 2016"": 22.95, ""Year 2018"": 26.79, ""Year 2017"": 26.78, ""Year 2019"": 26.29, ""Year 2020"": 29.9, ""Year 2022"": 32.83, ""Year 2021"": 24.67}","{""Year 2016"": 33.76, ""Year 2018"": 37.65, ""Year 2017"": 38.42, ""Year 2019"": 35.92, ""Year 2020"": 41.15, ""Year 2022"": 41.16, ""Year 2021"": 35.63}","{""Year 2016"": 67.97, ""Year 2018"": 71.15, ""Year 2017"": 69.72, ""Year 2019"": 73.18, ""Year 2020"": 72.67, ""Year 2022"": 79.76, ""Year 2021"": 69.23}"
POSS OF WEAPON FOR UNLAWFUL PU,1528,"{""Year 2016"": 96, ""Year 2018"": 281, ""Year 2017"": 298, ""Year 2019"": 235, ""Year 2020"": 171, ""Year 2022"": 190, ""Year 2021"": 257}","{""Year 2016"": 881.25, ""Year 2018"": 909.38, ""Year 2017"": 885.83, ""Year 2019"": 820.26, ""Year 2020"": 595.84, ""Year 2022"": 879.65, ""Year 2021"": 755.7}","{""Year 2016"": 1128.0, ""Year 2018"": 1344.93, ""Year 2017"": 1245.18, ""Year 2019"": 1175.37, ""Year 2020"": 998.9, ""Year 2022"": 1358.8, ""Year 2021"": 1116.17}","{""Year 2016"": 78.12, ""Year 2018"": 67.62, ""Year 2017"": 71.14, ""Year 2019"": 69.79, ""Year 2020"": 59.65, ""Year 2022"": 64.74, ""Year 2021"": 67.7}","{""Year 2016"": 12.44, ""Year 2018"": 11.81, ""Year 2017"": 12.1, ""Year 2019"": 12.87, ""Year 2020"": 21.61, ""Year 2022"": 15.66, ""Year 2021"": 16.16}","{""Year 2016"": 30.62, ""Year 2018"": 28.61, ""Year 2017"": 30.05, ""Year 2019"": 30.24, ""Year 2020"": 36.95, ""Year 2022"": 34.21, ""Year 2021"": 34.61}","{""Year 2016"": 40.62, ""Year 2018"": 41.28, ""Year 2017"": 40.27, ""Year 2019"": 42.55, ""Year 2020"": 58.48, ""Year 2022"": 45.79, ""Year 2021"": 46.69}"
THEFT BY UNLAWFUL TAKNG-MOVABL,901,"{""Year 2016"": 57, ""Year 2018"": 182, ""Year 2017"": 143, ""Year 2019"": 184, ""Year 2020"": 110, ""Year 2022"": 87, ""Year 2021"": 138}","{""Year 2016"": 19.54, ""Year 2018"": 14.4, ""Year 2017"": 18.17, ""Year 2019"": 24.2, ""Year 2020"": 27.37, ""Year 2022"": 7.51, ""Year 2021"": 14.14}","{""Year 2016"": 74.27, ""Year 2018"": 77.06, ""Year 2017"": 103.92, ""Year 2019"": 101.2, ""Year 2020"": 111.52, ""Year 2022"": 108.83, ""Year 2021"": 75.04}","{""Year 2016"": 26.32, ""Year 2018"": 18.68, ""Year 2017"": 17.48, ""Year 2019"": 23.91, ""Year 2020"": 24.55, ""Year 2022"": 6.9, ""Year 2021"": 18.84}","{""Year 2016"": 7.58, ""Year 2018"": 5.4, ""Year 2017"": 6.71, ""Year 2019"": 5.15, ""Year 2020"": 5.4, ""Year 2022"": 7.57, ""Year 2021"": 8.64}","{""Year 2016"": 21.6, ""Year 2018"": 16.11, ""Year 2017"": 17.78, ""Year 2019"": 17.89, ""Year 2020"": 16.97, ""Year 2022"": 17.34, ""Year 2021"": 18.06}","{""Year 2016"": 35.09, ""Year 2018"": 33.52, ""Year 2017"": 37.76, ""Year 2019"": 28.8, ""Year 2020"": 31.82, ""Year 2022"": 43.68, ""Year 2021"": 47.83}"
OPERATE MV DURING LICENSE SUSP,1640,"{""Year 2016"": 245, ""Year 2018"": 293, ""Year 2017"": 392, ""Year 2019"": 316, ""Year 2020"": 163, ""Year 2022"": 109, ""Year 2021"": 122}","{""Year 2016"": 221.53, ""Year 2018"": 218.16, ""Year 2017"": 216.03, ""Year 2019"": 208.1, ""Year 2020"": 204.25, ""Year 2022"": 201.97, ""Year 2021"": 734.9}","{""Year 2016"": 223.35, ""Year 2018"": 221.18, ""Year 2017"": 220.53, ""Year 2019"": 214.91, ""Year 2020"": 206.78, ""Year 2022"": 220.15, ""Year 2021"": 793.43}","{""Year 2016"": 99.18, ""Year 2018"": 98.63, ""Year 2017"": 97.96, ""Year 2019"": 96.84, ""Year 2020"": 98.77, ""Year 2022"": 91.74, ""Year 2021"": 92.62}","{""Year 2016"": 7.87, ""Year 2018"": 10.69, ""Year 2017"": 7.91, ""Year 2019"": 10.37, ""Year 2020"": 8.82, ""Year 2022"": 8.26, ""Year 2021"": 9.49}","{""Year 2016"": 23.52, ""Year 2018"": 32.62, ""Year 2017"": 22.32, ""Year 2019"": 23.23, ""Year 2020"": 26.15, ""Year 2022"": 23.68, ""Year 2021"": 22.71}","{""Year 2016"": 33.47, ""Year 2018"": 32.76, ""Year 2017"": 35.46, ""Year 2019"": 44.62, ""Year 2020"": 33.74, ""Year 2022"": 34.86, ""Year 2021"": 41.8}"
FENCING-DEALING IN STOLEN PROP,177,"{""Year 2016"": 41, ""Year 2018"": 22, ""Year 2017"": 44, ""Year 2019"": 29, ""Year 2020"": 23, ""Year 2022"": 10, ""Year 2021"": 8}","{""Year 2016"": 389.61, ""Year 2018"": 301.59, ""Year 2017"": 291.8, ""Year 2019"": 371.69, ""Year 2020"": 531.0, ""Year 2022"": 318.5, ""Year 2021"": 650.88}","{""Year 2016"": 532.47, ""Year 2018"": 510.38, ""Year 2017"": 493.81, ""Year 2019"": 567.32, ""Year 2020"": 1221.3, ""Year 2022"": 796.25, ""Year 2021"": 867.83}","{""Year 2016"": 73.17, ""Year 2018"": 59.09, ""Year 2017"": 59.09, ""Year 2019"": 65.52, ""Year 2020"": 43.48, ""Year 2022"": 40.0, ""Year 2021"": 75.0}","{""Year 2016"": 11.56, ""Year 2018"": 13.36, ""Year 2017"": 16.77, ""Year 2019"": 17.59, ""Year 2020"": 20.74, ""Year 2022"": 13.8, ""Year 2021"": 21.0}","{""Year 2016"": 36.46, ""Year 2018"": 22.62, ""Year 2017"": 35.14, ""Year 2019"": 39.23, ""Year 2020"": 36.69, ""Year 2022"": 27.6, ""Year 2021"": 56.0}","{""Year 2016"": 31.71, ""Year 2018"": 59.09, ""Year 2017"": 47.73, ""Year 2019"": 44.83, ""Year 2020"": 56.52, ""Year 2022"": 50.0, ""Year 2021"": 37.5}"
MANUF/DISTR CDS OR INTENT TO M,7460,"{""Year 2016"": 615, ""Year 2018"": 1457, ""Year 2017"": 1558, ""Year 2019"": 1287, ""Year 2020"": 816, ""Year 2022"": 751, ""Year 2021"": 976}","{""Year 2016"": 873.93, ""Year 2018"": 766.25, ""Year 2017"": 894.1, ""Year 2019"": 840.15, ""Year 2020"": 725.77, ""Year 2022"": 637.5, ""Year 2021"": 666.31}","{""Year 2016"": 1213.24, ""Year 2018"": 1275.91, ""Year 2017"": 1333.02, ""Year 2019"": 1336.55, ""Year 2020"": 1298.75, ""Year 2022"": 1202.93, ""Year 2021"": 1236.34}","{""Year 2016"": 72.03, ""Year 2018"": 60.05, ""Year 2017"": 67.07, ""Year 2019"": 62.86, ""Year 2020"": 55.88, ""Year 2022"": 53.0, ""Year 2021"": 53.89}","{""Year 2016"": 16.83, ""Year 2018"": 20.71, ""Year 2017"": 16.96, ""Year 2019"": 19.6, ""Year 2020"": 20.85, ""Year 2022"": 24.6, ""Year 2021"": 21.75}","{""Year 2016"": 37.64, ""Year 2018"": 40.67, ""Year 2017"": 38.25, ""Year 2019"": 40.55, ""Year 2020"": 39.29, ""Year 2022"": 42.57, ""Year 2021"": 40.12}","{""Year 2016"": 44.72, ""Year 2018"": 50.93, ""Year 2017"": 44.35, ""Year 2019"": 48.33, ""Year 2020"": 53.06, ""Year 2022"": 57.79, ""Year 2021"": 54.2}"
POSS CDS/ANALOG - SCHD I II II,21771,"{""Year 2016"": 2043, ""Year 2018"": 4313, ""Year 2017"": 4692, ""Year 2019"": 3986, ""Year 2020"": 2465, ""Year 2022"": 1761, ""Year 2021"": 2511}","{""Year 2016"": 348.32, ""Year 2018"": 412.77, ""Year 2017"": 436.21, ""Year 2019"": 325.9, ""Year 2020"": 332.88, ""Year 2022"": 294.64, ""Year 2021"": 315.35}","{""Year 2016"": 594.5, ""Year 2018"": 781.51, ""Year 2017"": 805.47, ""Year 2019"": 644.04, ""Year 2020"": 725.52, ""Year 2022"": 632.75, ""Year 2021"": 719.19}","{""Year 2016"": 58.59, ""Year 2018"": 52.82, ""Year 2017"": 54.16, ""Year 2019"": 50.6, ""Year 2020"": 45.88, ""Year 2022"": 46.56, ""Year 2021"": 43.85}","{""Year 2016"": 17.33, ""Year 2018"": 21.49, ""Year 2017"": 18.84, ""Year 2019"": 24.43, ""Year 2020"": 23.23, ""Year 2022"": 24.56, ""Year 2021"": 22.26}","{""Year 2016"": 31.19, ""Year 2018"": 35.22, ""Year 2017"": 33.88, ""Year 2019"": 37.88, ""Year 2020"": 35.5, ""Year 2022"": 37.54, ""Year 2021"": 34.0}","{""Year 2016"": 55.56, ""Year 2018"": 61.0, ""Year 2017"": 55.61, ""Year 2019"": 64.5, ""Year 2020"": 65.44, ""Year 2022"": 65.42, ""Year 2021"": 65.47}"
THEFT BY UNLAWFL TAKNG-MOVABLE,7089,"{""Year 2016"": 499, ""Year 2018"": 1437, ""Year 2017"": 1371, ""Year 2019"": 1335, ""Year 2020"": 855, ""Year 2022"": 679, ""Year 2021"": 913}","{""Year 2016"": 365.49, ""Year 2018"": 460.68, ""Year 2017"": 389.15, ""Year 2019"": 339.41, ""Year 2020"": 323.28, ""Year 2022"": 321.15, ""Year 2021"": 577.91}","{""Year 2016"": 582.69, ""Year 2018"": 823.37, ""Year 2017"": 703.86, ""Year 2019"": 628.46, ""Year 2020"": 622.54, ""Year 2022"": 660.8, ""Year 2021"": 1169.92}","{""Year 2016"": 62.73, ""Year 2018"": 55.95, ""Year 2017"": 55.29, ""Year 2019"": 54.01, ""Year 2020"": 51.93, ""Year 2022"": 48.6, ""Year 2021"": 49.4}","{""Year 2016"": 19.66, ""Year 2018"": 21.45, ""Year 2017"": 19.56, ""Year 2019"": 23.01, ""Year 2020"": 22.76, ""Year 2022"": 23.48, ""Year 2021"": 23.37}","{""Year 2016"": 35.42, ""Year 2018"": 36.04, ""Year 2017"": 34.65, ""Year 2019"": 38.3, ""Year 2020"": 36.11, ""Year 2022"": 37.16, ""Year 2021"": 36.17}","{""Year 2016"": 55.51, ""Year 2018"": 59.5, ""Year 2017"": 56.46, ""Year 2019"": 60.07, ""Year 2020"": 63.04, ""Year 2022"": 63.18, ""Year 2021"": 64.62}"
CONSPIRACY - AGREE/ENGAGE IN C,4554,"{""Year 2016"": 245, ""Year 2018"": 963, ""Year 2017"": 943, ""Year 2019"": 934, ""Year 2020"": 595, ""Year 2022"": 359, ""Year 2021"": 515}","{""Year 2016"": 212.01, ""Year 2018"": 454.53, ""Year 2017"": 443.25, ""Year 2019"": 817.5, ""Year 2020"": 454.94, ""Year 2022"": 525.4, ""Year 2021"": 369.08}","{""Year 2016"": 535.48, ""Year 2018"": 785.85, ""Year 2017"": 926.79, ""Year 2019"": 1413.97, ""Year 2020"": 840.65, ""Year 2022"": 997.98, ""Year 2021"": 841.04}","{""Year 2016"": 39.59, ""Year 2018"": 57.84, ""Year 2017"": 47.83, ""Year 2019"": 57.82, ""Year 2020"": 54.12, ""Year 2022"": 52.65, ""Year 2021"": 43.88}","{""Year 2016"": 15.72, ""Year 2018"": 17.12, ""Year 2017"": 19.03, ""Year 2019"": 18.87, ""Year 2020"": 18.48, ""Year 2022"": 17.26, ""Year 2021"": 19.46}","{""Year 2016"": 26.2, ""Year 2018"": 30.35, ""Year 2017"": 30.16, ""Year 2019"": 32.64, ""Year 2020"": 31.69, ""Year 2022"": 30.53, ""Year 2021"": 30.65}","{""Year 2016"": 60.0, ""Year 2018"": 56.39, ""Year 2017"": 63.1, ""Year 2019"": 57.82, ""Year 2020"": 58.32, ""Year 2022"": 56.55, ""Year 2021"": 63.5}"
