Offense,AverageIncarcerationDays,TotalCasesDays,TotalIncarcerationDays,MaxSentenceDays,MinSentenceDays,StdDevSentence,MedianSentence,ModeSentence,AverageProbationMonth,TotalProbationMonthInstances,TotalProbationMonths,MaxProbationMonth,MinProbationMonth,StdDevProbationMonth,MedianProbationMonth,ModeProbationMonth
ABANDON/NEGLECT OF ELDERLY/DIS,284.3809523809524,21,5972,2555,0,614.8539238055229,0.0,0,21.142857142857142,21,444,60,0,16.823453017397213,24.0,24
ABC ACT UNLAWFULLY MANUFACTURE,0.0,2,0,0,0,0.0,0.0,0,18.0,2,36,36,0,25.45584412271571,18.0,0
ABSCONDING FROM PAROLE,774.1376811594203,138,106831,1825,0,514.3243486848141,1095.0,1095,5.188405797101449,138,716,60,0,13.561727343331183,0.0,0
ABUSE OF CHILD - CRUELTY - NEG,40.714285714285715,7,285,180,0,67.8348835671694,0.0,0,11.571428571428571,7,81,24,0,11.544943234408487,12.0,0
ABUSE/ABANDONMENT/CRUELTY & NE,82.7483870967742,310,25652,1853,0,197.7202951819565,0.0,0,16.61935483870968,310,5152,60,0,14.660680288035286,12.0,12
ACCOMPLICE LIABILITY-1ST DEGRE,6278.0,10,62780,20805,1095,6019.242384959163,4015.0,2555,0.0,10,0,0,0,0.0,0.0,0
ACCOMPLICE LIABILITY-2ND DEGRE,2502.8571428571427,14,35040,5840,0,1394.3480890389578,2190.0,1825,0.8571428571428571,14,12,12,0,3.2071349029490928,0.0,0
ACCOMPLICE LIABILITY-3RD DEGRE,388.25,24,9318,1825,0,556.9878813762467,93.0,0,15.958333333333334,24,383,53,0,17.431802936678363,12.0,0
ACCOMPLICE LIABILITY-4TH DEGRE,10.333333333333334,3,31,29,0,16.19670748434179,2.0,0,4.0,3,12,12,0,6.928203230275509,0.0,0
ACCOMPLICE LIABILITY-ACCOMPANY,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24
ACCOMPLICE LIABILITY-AIDS ETC,1219.7272727272727,11,13417,2920,0,954.8009311798025,1460.0,1825,7.636363636363637,11,84,36,0,13.440779198191803,0.0,0
ACCOMPLICE LIABILITY-OWN CONDU,1693.802919708029,137,232051,9855,0,1866.2559595248451,1095.0,0,13.0,137,1781,60,0,20.430657471209347,0.0,0
ACCOMPLICE LIABILITY-SOLICIT A,14600.0,1,14600,14600,14600,,14600.0,14600,0.0,1,0,0,0,,0.0,0
ACCOMPLICE LIABILITY-SOLICITS/,364.5,2,729,365,364,0.7071067811865476,364.5,364,18.0,2,36,36,0,25.45584412271571,18.0,0
ACTING AS A BOUNTY HUNTER WITH,180.0,3,540,540,0,311.7691453623979,0.0,0,16.0,3,48,24,0,13.856406460551018,24.0,24
AGA,3102.5,4,12410,3650,2555,632.1985447626403,3102.5,2555,0.0,4,0,0,0,0.0,0.0,0
AGG ARSON - DESTRUCTION BUILDI,438.75,4,1755,1460,0,694.890578916326,147.5,0,30.0,4,120,60,0,24.979991993593593,30.0,0
AGG ARSON-DANGER OF BI,569.4285714285714,7,3986,1460,0,628.8618971716172,336.0,0,20.571428571428573,7,144,60,0,24.703961509962614,12.0,0
AGG ARSON-PURP DESTROY STRUCTU,2189.972972972973,37,81029,7300,0,1267.360566218156,1825.0,1825,3.2432432432432434,37,120,60,0,13.754606108107538,0.0,0
AGG ARSON-PURPOSE OR KNOWING D,1805.357142857143,28,50550,5110,0,1003.687579186749,1825.0,1095,3.0,28,84,60,0,12.055427546683417,0.0,0
AGG ARSON-TO COLLECT INSUR + R,0.0,2,0,0,0,0.0,0.0,0,60.0,2,120,60,60,0.0,60.0,60
AGG ASLT CAUSING BODILY INJURY,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0
AGG ASLT-BODILY INJURY,404.5263157894737,19,7686,1825,0,593.8020965141176,26.0,0,13.894736842105264,19,264,60,0,18.005847003564966,0.0,0
AGG ASSAULT,691.5210084033613,119,82291,3285,0,802.533856392739,270.0,0,15.025210084033613,119,1788,60,0,19.836391050620012,0.0,0
AGG ASSAULT - ON DOMESTIC VIOL,409.97033898305085,1180,483765,65700,0,1972.6619194159218,83.0,0,22.872881355932204,1180,26990,60,0,18.463427670019197,24.0,0
AGG ASSAULT - STRANGLE DOMESTI,779.9065300896286,781,609107,132860,0,8218.645187041655,47.0,0,24.175416133162614,781,18881,60,0,17.853067250287214,24.0,36
AGG ASSAULT W/ FIREARM,520.4779220779221,385,200384,1825,0,281.28936790371415,540.0,540,3.2883116883116883,385,1266,60,0,10.335138963874522,0.0,0
AGG ASSAULT-AGAINST A JUDGE/JU,200.0,1,200,200,200,,200.0,200,0.0,1,0,0,0,,0.0,0
AGG ASSAULT-ASSAULT ON A HEALT,328.57142857142856,35,11500,1460,0,421.5207960618373,180.0,0,16.8,35,588,60,0,19.12928152766606,12.0,0
